term	reading	rank	normalized_form
じゃ	ジャ	447	で
うん	ウン	448	うん
お前	オマエ	449	御前
彼女	カノジョ	450	彼女
みたい	ミタイ	451	みたい
大丈夫	ダイジョウブ	452	大丈夫
ちゃん	チャン	453	ちゃん
よね	ヨネ	454	よね
わかる	ワカル	455	分かる
え	エ	456	えー
あっ	アッ	457	あっ
僕	ボク	458	僕
なんか	ナンカ	459	なんか
ください	クダサイ	460	下さる
笑う	ワラウ	461	笑う
なんだ	ナンダ	462	なんだ
じゃあ	ジャア	464	で
分かる	ワカル	465	分かる
様	サマ	466	様
まあ	マア	467	まあ
だろ	ダロ	468	だ
ええ	エエ	469	ええ
女	オンナ	470	女
君	キミ	471	君
君	クン	472	君
だけど	ダケド	473	だけど
二人	フタリ	474	二人
者	モノ	475	者
やっぱり	ヤッパリ	476	矢張り
でしょ	デショ	477	です
えっ	エッ	478	えっ
ちゃんと	チャント	479	ちゃんと
こっち	コッチ	480	此方
すごい	スゴイ	481	凄い
確かに	タシカニ	482	確かに
聞こえる	キコエル	483	聞こえる
なんで	ナンデ	484	なんで
先生	センセイ	485	先生
だろうか	ダロウカ	486	だろうか
まさか	マサカ	487	まさか
ようだ	ヨウダ	488	ようだ
ねえ	ネエ	489	ねえ
そうだ	ソウダ	490	そうだ
なんです	ナンデス	491	なんです
けれど	ケレド	492	けれど
なに	ナニ	493	何
まるで	マルデ	494	丸で
他	ホカ	495	他
殺す	コロス	496	殺す
事	コト	497	事
じゃないか	ジャナイカ	498	じゃないか
胸	ムネ	499	胸
さっき	サッキ	500	さっき
思い出す	オモイダス	502	思い出す
へと	ヘト	503	へと
あんた	アンタ	504	貴方
おい	オイ	505	おい
一番	イチバン	506	一番
一人	ヒトリ	507	一人
ありがとう	アリガトウ	508	有り難う
そうか	ソウカ	509	そうか
頼む	タノム	510	頼む
一つ	ヒトツ	511	一つ
表情	ヒョウジョウ	512	表情
ごめん	ゴメン	513	御免
怖い	コワイ	514	怖い
良い	ヨイ	515	良い
ゆっくり	ユックリ	516	ゆっくり
つまり	ツマリ	517	詰まり
だったら	ダッタラ	518	だったら
腕	ウデ	519	腕
それから	ソレカラ	520	それから
ほら	ホラ	521	ほら
あ	ア	522	あー
欲しい	ホシイ	523	欲しい
やはり	ヤハリ	524	矢張り
確認	カクニン	525	確認
そうです	ソウデス	526	そうです
全部	ゼンブ	527	全部
何度	ナンド	528	何度
そんなに	ソンナニ	529	そんなに
ほう	ホウ	530	ほう
子供	コドモ	531	子供
二	ニ	532	2
光	ヒカリ	533	光
おかしい	オカシイ	534	可笑しい
寝る	ネル	535	寝る
なのだ	ナノダ	536	なのだ
なるほど	ナルホド	537	成る程
もん	モン	538	もん
小さな	チイサナ	539	小さな
瞬間	シュンカン	540	瞬間
気がする	キガスル	541	気がする
今まで	イママデ	542	今迄
優しい	ヤサシイ	543	優しい
嫌	イヤ	544	嫌
あいつ	アイツ	545	彼奴
ううん	ウウン	546	ううん
明日	アシタ	547	明日
泣く	ナク	548	泣く
頑張る	ガンバル	549	頑張る
怒る	オコル	550	怒る
はずだ	ハズダ	551	はずだ
あんな	アンナ	552	あんな
娘	ムスメ	553	娘
今回	コンカイ	554	今回
やつ	ヤツ	555	奴
昨日	キノウ	556	昨日
ですから	デスカラ	557	ですから
かしら	カシラ	558	かしら
変	ヘン	559	変
探す	サガス	560	探す
しかも	シカモ	561	然も
返す	カエス	562	返す
国	クニ	563	国
なあ	ナア	564	なあ
当然	トウゼン	565	当然
座る	スワル	566	座る
でしょうか	デショウカ	567	でしょうか
つつ	ツツ	568	つつ
ではある	デハアル	569	ではある
黙る	ダマル	570	黙る
気づく	キヅク	571	気付く
しばらく	シバラク	572	暫く
いえ	イエ	573	いえ
隠す	カクス	574	隠す
気になる	キニナル	575	気になる
奥	オク	576	奥
向ける	ムケル	577	向ける
笑顔	エガオ	578	笑顔
かなり	カナリ	579	可成
軽い	カルイ	580	軽い
目の前	メノマエ	581	目の前
お願い	オネガイ	582	御願い
開ける	アケル	583	開ける
せい	セイ	584	せい
まったく	マッタク	585	全く
女の子	オンナノコ	586	女の子
こんなに	コンナニ	587	こんなに
しかない	シカナイ	588	しかない
ならば	ナラバ	589	ならば
とにかく	トニカク	590	兎に角
ことはない	コトハナイ	591	ことはない
痛い	イタイ	592	痛い
敵	テキ	593	敵
一	イチ	594	1
実は	ジツハ	595	実は
後ろ	ウシロ	596	後ろ
そこまで	ソコマデ	597	そこまで
物	モノ	598	物
さらに	サラニ	599	更に
髪	カミ	600	髪
一瞬	イッシュン	602	一瞬
落ち着く	オチツク	603	落ち着く
どうした	ドウシタ	604	どうした
隣	トナリ	605	隣
不思議	フシギ	606	不思議
戦う	タタカウ	607	戦う
さあ	サア	608	さあ
こいつ	コイツ	609	此奴
現れる	アラワレル	610	現れる
そろそろ	ソロソロ	611	そろそろ
私たち	ワタシタチ	612	私達
記憶	キオク	613	記憶
彼ら	カレラ	614	彼ら
すべて	スベテ	615	全て
学校	ガッコウ	616	学校
さえ	サエ	617	さえ
情報	ジョウホウ	618	情報
意識	イシキ	619	意識
というのは	トイウノハ	620	というのは
肩	カタ	621	肩
色	イロ	622	色
触れる	フレル	623	触れる
勝つ	カツ	624	勝つ
結局	ケッキョク	625	結局
三	サン	626	3
全然	ゼンゼン	627	全然
上がる	アガル	628	上がる
げ	ゲ	629	げ
動き	ウゴキ	630	動き
白い	シロイ	631	白い
指	ユビ	632	指
可能性	カノウセイ	633	可能性
赤い	アカイ	634	赤い
失礼	シツレイ	635	失礼
幸せ	シアワセ	636	幸せ
負ける	マケル	637	負ける
背中	セナカ	638	背中
反応	ハンノウ	639	反応
壁	カベ	640	壁
どうやら	ドウヤラ	641	どうやら
いきなり	イキナリ	642	行成
空	ソラ	643	空
約束	ヤクソク	644	約束
血	チ	645	血
服	フク	646	服
恥ずかしい	ハズカシイ	647	恥ずかしい
過ぎる	スギル	648	過ぎる
事実	ジジツ	649	事実
静か	シズカ	650	静か
すむ	スム	651	すむ
