normalized_form	reading	senses
破片	ハヘン	fragment; broken piece; splinter; chip; shard
俳人	ハイジン	haiku poet
破滅	ハメツ	ruin; destruction; fall
馬車	バシャ	coach (horse-drawn); carriage; wagon; cart
破綻	ハタン	failure; collapse; breakdown; break-up; bankruptcy|tear (in clothing, etc.); rip; split
馬	ウマ	horse|horse racing|promoted bishop|knight (court card in mekuri karuta and unsun karuta)
破格	ハカク	extraordinary; exceptional; unprecedented; special; abnormal; irregular|solecistic; non-standard; irregular
罵る	ノノシル	to abuse (verbally); to curse at; to shout abuse at; to speak ill of
破損	ハソン	damage; breakage
破裂	ハレツ	bursting; rupture; explosion|breakdown (of talks, negotiations, etc.); breaking off
破壊	ハカイ	destruction; disruption|(application) crash
廃虚	ハイキョ	ruins (of a building, town, etc.); remains
廃業	ハイギョウ	discontinuation (of business); closing down; giving up (one's practice); retiring
俳優	ハイユウ	actor; actress; player; performer
馬術	バジュツ	horsemanship; equestrian art; (art of) riding
廃材	ハイザイ	scrap wood; waste wood|waste; waste material; scrap material
破局	ハキョク	catastrophe; cataclysm|collapse (of a relationship); breakup; split (friends, lovers, etc.)
廃坑	ハイコウ	closure of a mine; abandoned mine; disused mine
拝借	ハイシャク	borrowing
廃絶	ハイゼツ	abolition; elimination|extinction; discontinuation
拝む	オガム	to assume the posture of praying; to press the palms and fingers of both hands together; to do reverence (e.g. before a statue of the Buddha); to pay one's respects|to beg; to make a supplication|to see (something or someone of high status)
廃止	ハイシ	abolition; discontinuance; discontinuation; repeal; annulment
拝啓	ハイケイ	Dear (so and so); Dear Sir; Dear Madam; To Whom It May Concern
廃棄物	ハイキブツ	waste matter; waste; garbage; trash
排気ガス	ハイキガス	exhaust fumes
馬力	バリキ	horsepower; hp|energy; vitality; vigour; strength|horse-drawn cart
廃棄	ハイキ	disposal; abandonment; scrapping; discarding; abolition|annulment; cancellation; abrogation; repeal
俳句	ハイク	haiku; 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae
拝見	ハイケン	seeing; looking at
敗れる	ヤブレル	to be defeated; to be beaten; to be unsuccessful; to lose
排水	ハイスイ	drainage; draining; pumping out (water); sewerage|displacement
排除	ハイジョ	exclusion; removal; elimination; clearing away; getting rid of
敗因	ハイイン	cause of defeat
排出	ハイシュツ	discharge; evacuation; emission (e.g. of CO2); ejection; excretion
敗戦	ハイセン	defeat; lost battle; losing a war
敗退	ハイタイ	being defeated; being eliminated (from competition)
敗訴	ハイソ	loss of a (legal) case
排日	ハイニチ	anti-Japanese
排気	ハイキ	exhaust; emission (of gas from an engine)|expulsion (of air); ventilation
敗北	ハイボク	defeat; loss; reverse; setback
背く	ソムク	to run counter to; to go against; to disobey; to infringe
敗者	ハイシャ	loser; defeated person; the defeated
背後	ハイゴ	back; rear|background; behind the scenes
背	セ	height; stature|back|reverse; rear side; back (e.g. of a chair); spine (of a book)|ridge (of a mountain)
背信	ハイシン	betrayal; infidelity
排斥	ハイセキ	rejection; expulsion; boycott; ostracism
排他	ハイタ	exclusion
背丈	セタケ	stature; height
背広	セビロ	business suit
背骨	セボネ	spine; backbone; spinal column
杯	サカズキ	sake cup; cup for alcoholic beverages|ritual exchange of cups (to seal a bond or pledge)
背泳ぎ	セオヨギ	backstroke (swimming)
背負う	セオウ	to carry on one's back|to be burdened with; to take responsibility for|to have (something) in the background; to be in front (of something)|to be conceited; to think highly of oneself
背景	ハイケイ	background; scenery; backdrop; setting|background (of an incident, situation, etc.); circumstances; context|backing; support (from behind the scenes)
背中	セナカ	back (of the body)
背任	ハイニン	breach of trust; malfeasance; malpractice; misappropriation
配給	ハイキュウ	distribution (e.g. films, rice)|rationing (e.g. food, gasoline)|food ration
肺結核	ハイケッカク	pulmonary tuberculosis
背番号	セバンゴウ	number on the back of a player's uniform; uniform number; shirt number; squad number
肺炎	ハイエン	pneumonia
肺	ハイ	lung
配合	ハイゴウ	combination; arrangement; distribution; harmony; mixture; compounding|marrying off
輩出	ハイシュツ	producing (people) in great numbers; appearing one after the other
配る	クバル	to distribute; to hand out; to deliver; to deal out; to serve out|to allot; to allocate; to place (staff, soldiers, etc.); to station
配送	ハイソウ	delivery
配偶者	ハイグウシャ	spouse; wife; husband; partner
配布	ハイフ	distribution
配線	ハイセン	wiring
配当	ハイトウ	allotment; apportionment; share|dividend
配慮	ハイリョ	consideration; concern; attention; thoughtfulness; making arrangements; care; trouble
配属	ハイゾク	assignment (of a person to somewhere); attachment (of a person to another unit, organization, etc.)
倍	バイ	double; twice (as much)|times (as much); -fold|1-nth; 1 to n; 1 in n
配電	ハイデン	distribution of electricity
配備	ハイビ	deployment; disposition; posting; stationing
倍増	バイゾウ	doubling; double
配分	ハイブン	distribution; allotment
配置	ハイチ	arrangement (of resources); deployment; stationing; posting; disposition; configuration; layout
培う	ツチカウ	to cultivate; to foster
配列	ハイレツ	arranging; ordering; sequencing; lining up; laying out|sequence (e.g. DNA sequence); arrangement; alignment; layout (e.g. keyboard layout)|array
梅干し	ウメボシ	umeboshi; pickled dried ume; pickled dried plum
倍率	バイリツ	magnification; leverage; amplification; scaling factor; scale factor|competitiveness rating (e.g. for university entrance); applicant-to-acceptance ratio
買い取り	カイトリ	purchase; buying; buying out|buying used articles as a company; trade-in; buy back|purchase on a no-return policy|lump-sum payment; flat fee
倍加	バイカ	doubling|marked increase; multiplying; redoubling
買い出し	カイダシ	going out to shop; going shopping|buying in quantity; buying wholesale; bulk purchasing
媒介	バイカイ	mediation; agency; serving as a medium; acting as an intermediary; acting as a go-between|carrying (germs, diseases, etc.); transmission|mediation (in Hegelianism)
培養	バイヨウ	culture; cultivation|cultivation (of plants); growing; raising|cultivation (e.g. of a skill); nurture (of democracy, national power, etc.); growth
媒体	バイタイ	medium; media
配達	ハイタツ	delivery
媒酌	バイシャク	matchmaking; acting as a go-between
梅酒	ウメシュ	ume liqueur; Japanese plum brandy; unripe ume infused in liquor (esp. shōchū) with added sugar
梅	ウメ	Japanese apricot (Prunus mume); Japanese plum; ume; Chinese plum|lowest (of a three-tier ranking system)
売り込む	ウリコム	to build a market for; to promote (a product); to sell; to become well known|to promote oneself; to sell oneself|to sell heavily
買い入れる	カイイレル	to purchase; to buy in
買う	カウ	to buy; to purchase|to value (highly); to think highly of; to have a high opinion of; to appreciate; to recognize|to incur (someone's anger, displeasure, etc.); to elicit (e.g. sneers); to invite (e.g. scorn); to evoke; to arouse; to win (someone's favour)|to accept; to take on; to take up|to pay for (a prostitute, geisha, etc.)
売り込み	ウリコミ	sales promotion; hard selling
売店	バイテン	stand; stall; booth; kiosk; store
買収	バイシュウ	acquisition (esp. corporate); buy-out; takeover; purchase|bribery; buying off; corruption
売り物	ウリモノ	article for sale; goods for sale; offering|main attraction; specialty; selling point|For Sale
伯	ハク	count; earl|chief official of the Department of Worship (under the ritsuryō system)|Brazil
売買	バイバイ	trade; buying and selling; trafficking (e.g. of humans, arms, drugs); dealing
売る	ウル	to sell|to betray; to sell out (one's friend, country, etc.)|to make (oneself) known; to establish (a reputation) for oneself|to pick (a fight, quarrel, etc.); to provoke; to force on someone
陪審	バイシン	jury
賠償	バイショウ	compensation; reparations; indemnity; damages
秤	ハカリ	scales; weighing machine
売り切れ	ウリキレ	sold-out
売り出す	ウリダス	to put on the market; to put out for sale; to put on sale; to begin selling; to market|to become popular
売却	バイキャク	selling off; disposal by sale; sale
剥がれる	ハガレル	to come unstuck from; to peel off; to come off
賠償金	バイショウキン	indemnities; reparations
蠅	ハエ	fly (any insect of infraorder Muscomorpha)|person of no worth; pisher; scrub
萩	ハギ	bush clover; Japanese clover (any flowering plant of genus Lespedeza)|dark red exterior with blue interior (color combination worn in autumn)|Hagi (city in Yamaguchi)
伯爵	ハクシャク	count; earl
這う	ハウ	to crawl; to creep; to go on all fours|to slither; to wriggle|to trail (of vines, flowers, etc.); to spread; to creep
売り切れる	ウリキレル	to be sold out
剥く	ムク	to peel; to skin; to pare; to hull; to strip|to bare (teeth, fangs); to open wide (eyes)
売れる	ウレル	to sell (well)|to be well known; to be popular; to be famous
伯仲	ハクチュウ	being evenly matched; being equal with; being on a par with; being well contested|eldest and second eldest brother; older and younger brother
剥げる	ハゲル	to peel off; to come off; to flake off; to be worn off|to fade; to discolor; to discolour
柏木	カシワギ	oak tree|imperial palace guard
拍車	ハクシャ	(riding) spur|spurring on; acceleration; impetus
博士	ハカセ	expert; learned person|doctor; PhD; Dr.|instructor at the imperial court (ritsuryō period)|pitch and length marks (to accompany a Buddhist liturgical chant, etc.)
すき焼き	スキヤキ	sukiyaki; thin slices of beef, cooked with various vegetables in a table-top cast-iron pan
博学	ハクガク	erudition; extensive learning
剥ける	ムケル	to peel off; to come off; to be taken off
泊める	トメル	to give shelter to; to lodge; to put up; to accommodate
白	シロ	white|innocence; innocent person|blank space|white stone|white dragon tile
博物	ハクブツ	natural history|wide learning; broad area of learning
白衣	ハクイ	white clothes; white robe|white gown (worn by doctors, chemists, etc.)|commoner without rank (in ancient China)|layperson
拍手	ハクシュ	clapping hands; applause|clapping one's hands in prayer (at a shrine)
白血球	ハッケッキュウ	white blood cell; leukocyte; leucocyte
泊まる	トマル	to stay at (e.g. hotel)|to be docked; to be berthed; to be moored
白い	シロイ	white|blank (e.g. paper); uncolored; unmarked; spotless; immaculate|innocent; not guilty; pure|bright; vivid|inexperienced; naive; unrefined
白血病	ハッケツビョウ	leukemia; leukaemia
白羽	シラハ	white feather
白菜	ハクサイ	napa cabbage (Brassica rapa subsp. pekinensis); nappa cabbage; Chinese cabbage
白バイ	シロバイ	motorcycle police|white-colored police motorcycle
博愛	ハクアイ	charity; benevolence; philanthropy; (love for) humanity; fraternity; brotherhood; brotherly love; love of fellow man
白菊	シラギク	white chrysanthemum
博覧会	ハクランカイ	exhibition; exposition; expo; fair
白紙	ハクシ	white paper; flyleaf|blank paper|clean slate; lack of prior opinion, positions, etc.|scratch; beginning
白樺	シラカバ	Japanese white birch (Betula platyphylla var. japonica)
博物館	ハクブツカン	museum
白黒	シロクロ	black and white; monochrome|good and evil; right and wrong; guilt and innocence
白状	ハクジョウ	confession
白身	シロミ	egg white|white-fleshed fish (e.g. tai, hirame, karei); white meat; fatty meat|sapwood
白書	ハクショ	white paper (government report)
白米	ハクマイ	polished rice; (uncooked) white rice
薄らぐ	ウスラグ	to become thin; to fade; to grow pale
白熱	ハクネツ	white heat; incandescence; (emitting) white light; white glow|becoming excited; getting heated (e.g. of a discussion); reaching a climax
漠然	バクゼン	vague; obscure; indistinct; hazy; ambiguous
迫害	ハクガイ	persecution; oppression
薄める	ウスメル	to dilute; to water down; to thin; to lighten (e.g. a color); to make less strong (e.g. flavor, depth, etc.)|to soften (e.g. a statement, impression, etc.); to weaken (e.g. an effect); to tone down; to temper
薄暗い	ウスグライ	dim; gloomy
白鳥	ハクチョウ	swan (Cygnus spp.)|white bird
白人	ハクジン	white person; Caucasian|beginner; amateur|unlicensed prostitute
薄着	ウスギ	being lightly dressed
迫力	ハクリョク	impressiveness; impact; force; intensity; presence; appeal; strength; punch; edge; vigor
迫る	セマル	to approach; to draw near; to be imminent|to press (someone for something); to urge; to compel
薄れる	ウスレル	to fade; to become dim
爆弾	バクダン	bomb|alcohol with liquor added (esp. wine-based shōchū highball, also beer with whiskey)
薄い	ウスイ	thin (of an object)|pale; light; faint|watery; thin; diluted|weak (taste, etc.); little (affection, etc.); not much (of a presence)|slim (probability, etc.); small
白線	ハクセン	white line|linea alba
薄弱	ハクジャク	feebleness; weakness
舶来	ハクライ	imported; foreign-made
爆破	バクハ	destructive blast; blowing up; explosion
迫撃砲	ハクゲキホウ	mortar
爆薬	バクヤク	explosive; blasting powder
麦茶	ムギチャ	barley tea
縛り首	シバリクビ	(death by) hanging
爆竹	バクチク	firecracker
麦畑	ムギバタケ	wheat field; barley field; cornfield
爆発	バクハツ	explosion; detonation; blast; blowing up; eruption|outburst (of emotion); explosion (e.g. of anger); eruption (e.g. of discontent)
爆撃	バクゲキ	bombing (raid)
爆笑	バクショウ	roar of laughter (from multiple people); burst of laughter; uproarious laughter|laughing hard (of a single person)
縛る	シバル	to tie; to bind; to fasten|to restrict (freedom); to tie down (with rules, regulations, etc.); to fetter
莫大	バクダイ	vast; huge; immense; enormous; colossal|malva nut (Scaphium affine)
肌	ハダ	skin|body (in the context of intimate bodily contact)|surface; grain (e.g. of wood); texture|disposition; temperament; character; type
麦芽	バクガ	malt
肌色	ハダイロ	flesh colour (of a Japanese person); flesh color; pale orange|(one's) skin color; skin colour; skin tone
筈	ハズ	should (be); bound (to be); expected (to be); must (be)|nock (of a bow)|nock (of an arrow)|nock-shaped grip (between thumb and forefinger)|wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out
肌着	ハダギ	underwear; underclothes; lingerie; chemise; singlet
麦	ムギ	wheat; barley; oat (oats)
発育	ハツイク	(physical) growth; development
発	ハツ	departure; departing from ...; leaving at (e.g. 8:30)|sent from ...; (a letter, etc.) dated ...; datelined ...|counter for engines (on an aircraft)|counter for gunshots, bursts of gas, etc.; counter for bullets, bombs, etc.; counter for blows (punches); counter for jokes, puns, etc.; counter for ideas, thoughts or guesses|counter for ejaculations or sexual intercourse
畑	ハタケ	field (for growing wheat, fruit, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation|field (of specialization); sphere; area; line|womb; birth; birthplace
箸	ハシ	chopsticks
鉢	バチ	bowl; pot; basin|(plant) pot; flowerpot|crown (of the head); skull
発煙	ハツエン	emitting smoke; fuming
鉢植え	ハチウエ	potted plant|potting
発音	ハツオン	pronunciation|production of sound
八方	ハッポウ	all sides; the four cardinal directions and the four ordinal directions|large hanging paper lantern
八百屋	ヤオヤ	greengrocer; fruit and vegetable shop|jack of all trades
八千代	ヤチヨ	very long period; forever|eight thousand years
八重桜	ヤエザクラ	double-flowered cherry tree; double cherry blossoms
発煙筒	ハツエントウ	smoke bomb; smoke candle
発火	ハッカ	ignition; combustion; catching fire|firing a blank cartridge; discharge of a gun without bullets|firing (of an event); triggering
発する	ハッスル	to let out; to utter; to produce; to emit; to give forth; to discharge|to issue; to send; to give|to leave; to depart|to occur; to appear|to shoot (an arrow or bullet); to fire
八つ当たり	ヤツアタリ	venting one's anger (on someone or something); taking out one's anger on
発刊	ハッカン	publication; issue; launching (a publication)
発芽	ハツガ	germination; sprouting; budding
発汗	ハッカン	sweating; perspiration; sudation; hidrosis; diaphoresis
発覚	ハッカク	detection (of a plot, fraud, etc.); discovery; coming to light; being uncovered
発禁	ハッキン	prohibition of sale; ban on sale
発生	ハッセイ	occurrence; incidence; outbreak; birth (e.g. of civilization)|generation (of power, heat, etc.); production|ontogeny; development; growth; breeding
発見	ハッケン	discovery; detection; finding
発光	ハッコウ	emission (of light); radiation (of light); luminescence
発送	ハッソウ	sending; forwarding; shipping
発想	ハッソウ	idea; conception|way of thinking; approach|expression
発散	ハッサン	emission; emanation; radiation; diffusion; dispersion|letting out (feelings); venting|divergence (of light)|divergence
発酵	ハッコウ	fermentation; zymosis
発信	ハッシン	dispatch; despatch; transmission; submission|informing (e.g. of opinion); sharing (thoughts, etc.); telling
発効	ハッコウ	coming into effect
発作	ホッサ	fit; attack; spasm; ictus; paroxysm; seizure; stroke
発祥	ハッショウ	origin|appearance of an auspicious sign that one will receive a divine mandate to becoming emperor|birth of an emperor or his ancestors
発射	ハッシャ	firing (esp. a rocket or missile); launching; shooting; discharge; catapult|ejaculation
発声	ハッセイ	utterance; speaking; vocalization; vocalisation|leading a group of people (in cheering, singing, etc.)
発進	ハッシン	departure (from a base); takeoff; launch|starting (to move; of a car); start; moving off
発祥地	ハッショウチ	birthplace (e.g. of jazz, Buddhism); cradle (e.g. of civilization); place of origin
発揮	ハッキ	show (of power, ability, etc.); exhibition; demonstration; display; manifestation
発言	ハツゲン	statement; remark; observation; utterance; speech; proposal
発着	ハッチャク	arrival and departure
発行	ハッコウ	publication (of a newspaper, magazine, book, etc.); issue|issue (of banknotes, bonds, passport, etc.)|raising (an event)
発端	ホッタン	origin; genesis; opening; start; beginning
発展	ハッテン	development; growth; expansion; extension; flourishing|development (of a situation, story, etc.); advancement; progression; unfolding|playing around (sexually; esp. of a male homosexual); having an active sex life
発電	ハツデン	generation of electricity; power generation|sending a telegram; telegraphing
発達	ハッタツ	development; growth|progress; development; advancement|expansion (of a typhoon, low-pressure area, etc.)|developmental disability; person with a developmental disability
発注	ハッチュウ	ordering (materials); placing an order; order
発車	ハッシャ	departure (of a train, car, etc.); starting; leaving
発掘	ハックツ	excavation; exhumation; digging up; unearthing|discovery (of a new fact, talent, etc.); finding; unearthing
発動	ハツドウ	putting into operation|invocation
発電機	ハツデンキ	dynamo; power generator
発明	ハツメイ	invention|intelligent; clever; smart
罰	バツ	(divine) punishment; curse; retribution|punishment; penalty
発表会	ハッピョウカイ	(school) recital; school concert; class presentation|presentation (for a new product, etc.); announcement event; launch event
発電所	ハツデンショ	power plant; power station
発表	ハッピョウ	announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
発令	ハツレイ	official announcement; proclamation; issuance (of an order, ordinance, or warning)
発病	ハツビョウ	onset of an illness; falling ill
発売	ハツバイ	sale; offering for sale; putting on sale; putting on the market; release (for sale)
髪	カミ	hair (on the head)
発砲	ハッポウ	firing; discharge of gun
罰則	バッソク	punishment; penalty|penal regulations; penal provisions; penal code
発泡	ハッポウ	foaming
討つ	ウツ	to attack; to destroy; to defeat; to conquer; to avenge
髪の毛	カミノケ	hair (on the head); (a) hair
伐採	バッサイ	felling timber; cutting down trees; logging; lumbering
罰する	バッスル	to punish; to penalize; to penalise
抜け出す	ヌケダス	to slip out; to sneak away; to break free; to get through (a difficult situation)|to break into the lead; to get ahead|to begin to fall out (e.g. hair)|to break out (of a loop)
発熱	ハツネツ	generation of heat|(attack of) fever; pyrexia
罰金	バッキン	fine; penalty
抜かる	ヌカル	to make a mistake
抜かす	ヌカス	to omit; to leave out; to skip|to overtake; to pass|to say; to speak
抜く	ヌク	to pull out; to draw out; to extract; to unplug; to weed|to omit; to leave out; to go without; to skip|to do to the end; to do thoroughly; to do completely; to do severely|to let out (e.g. air from a tyre); to drain (e.g. water from a bath); to empty|to pick out; to choose; to select; to extract
抜ける	ヌケル	to come out; to fall out; to be omitted; to be missing; to escape; to come loose|to fade; to discolour|to wear a hole (e.g. clothes)|to leave (e.g. a meeting)|to be clear; to be transparent (e.g. of the sky)
伴奏	バンソウ	accompaniment
抜群	バツグン	outstanding; excellent; exceptional; distinguished; unrivaled; surpassing (e.g. beauty); beyond compare
判決	ハンケツ	judicial decision; judgement; judgment; sentence; decree
判明	ハンメイ	becoming clear; coming to light; being ascertained; being identified; being confirmed
判	ハン	seal; stamp; monogram signature|judgment; judgement|size (of paper or books)
判事	ハンジ	judge; judiciary
抜本的	バッポンテキ	drastic; radical
半額	ハンガク	half the amount (of money); half price; half fare
閥	バツ	clique; clan; faction
半ば	ナカバ	middle; halfway; midway|half (of); one half|half (e.g. done, jokingly); partly; in part; partially|mostly; almost; nearly
半	ハン	half; semi-; partial|half-past|odd number|han (unit of land area, approx. 595.8 m^2)
半径	ハンケイ	radius
伴侶	ハンリョ	companion; partner; spouse
半期	ハンキ	half-term; half-time; half period
判例	ハンレイ	judicial precedent; leading case; prior case
半減	ハンゲン	reduction by half; halving
半熟	ハンジュク	half-cooked; half-done; soft-boiled|half-ripe; unripe
判子	ハンコ	seal (used in lieu of a signature); stamp; chop
半袖	ハンソデ	short sleeves
半端	ハンパ	remnant; fragment; incomplete set; incompleteness|fraction; odd sum|halfway; half-hearted; perfunctory|irresponsible; foolish
半身	ハンシン	half the body; half length
半周	ハンシュウ	semicircle; hemicycle; half globe|to go halfway round (e.g. the earth)
半値	ハンネ	half price
半数	ハンスウ	half the number; half (of an amount)|haploid (organism, cell, etc.); haplont
伴う	トモナウ	to accompany; to go hand in hand with; to be consequent upon|to be accompanied by; to bring with; to take with; to be involved in
鳩	ハト	pigeon; dove
半生	ハンセイ	half a lifetime; half one's life; one's life so far
隼	シュン	falcon (esp. the peregrine falcon, Falco peregrinus)
判断	ハンダン	judgment; judgement; decision; conclusion; adjudication|divination|judgement
判定	ハンテイ	judgement; judgment; decision; ruling; finding; adjudication; verdict; call
反射	ハンシャ	reflection; reverberation|reflex; reflexes
半分	ハンブン	half
反戦	ハンセン	anti-war
反撃	ハンゲキ	counterattack; counteroffensive; counterblow
反体制	ハンタイセイ	anti-establishment
反	ハン	anti-|antithesis|fanqie; traditional Chinese spelling system in which two characters are used: the first one for the onset, the second one for rhyme and tone
反射的	ハンシャテキ	reflexive; reflecting
反転	ハンテン	rolling over; turning over|turning around (the other way); reversal (of direction, course, etc.); inversion; flipping|producing a positive from a negative; producing a negative from a positive|circle inversion; plane inversion
反抗	ハンコウ	opposition; resistance; insubordination; defiance; hostility; rebellion
反証	ハンショウ	proof to the contrary; disproof; counter-evidence; rebuttal; refutation
反則	ハンソク	foul; breaking the rules|violation (of the law, regulations, etc.); infringement; breach; infraction
反する	ハンスル	to be contrary (to); to go against; to run counter (to); to contradict; to be opposite (to)|to infringe; to violate; to transgress|to disobey (an order, teachings, etc.); to defy; to rebel; to revolt
反省	ハンセイ	reflection; reconsideration; introspection; meditation; contemplation|regret; repentance; remorse; being sorry
半島	ハントウ	peninsula|Korea
反感	ハンカン	antipathy; antagonism; animosity; revulsion; ill feeling
反動	ハンドウ	reaction; recoil; kick; backlash
半導体	ハンドウタイ	semiconductor
反作用	ハンサヨウ	reaction
半面	ハンメン	while; although; though; but|(but) at the same time; on the other hand; then again; and yet|half the face; profile|one side; a half; the other side; the reverse; the contrary; the opposite|half the surface (of)
反対	ハンタイ	opposition; resistance; antagonism; hostility; objection; dissent|reverse; opposite; inverse; contrary
反日	ハンニチ	anti-Japanese
反る	ソル	to warp; to curve; to arch; to bend|to bend backward (body or body part, e.g. fingers)
反応	ハンノウ	reaction; response|physical reaction (to a stimulus); observable response (of an organism)|reaction; effect; change
反共	ハンキョウ	anticommunism
反響	ハンキョウ	echo; reverberation|response; reaction; repercussions; sensation; influence
反論	ハンロン	objection; refutation; rebuttal; counterargument
反乱	ハンラン	insurrection; mutiny; rebellion; revolt; uprising
反面	ハンメン	while; although; though; but|(but) on the other hand; at the same time; then again; and yet|opposite side; other side; reverse
犯罪	ハンザイ	crime; offence; offense
搬入	ハンニュウ	carrying in (esp. heavy objects, artwork, furniture); bringing in; taking in
氾濫	ハンラン	overflowing; flood; inundation; deluge|oversupply; plethora; abundance (esp. of something undesirable)
反米	ハンベイ	anti-American
帆	ホ	sail
帆走	ハンソウ	sailing
反発	ハンパツ	opposition; rebellion; revolt; resistance; backlash; refusal|rebounding; recoiling; repulsion|rally (e.g. in stock prices); recovery
搬送	ハンソウ	transportation; conveyance; delivery|hospitalization; transfer to hospital
斑	ブチ	unevenness (of colour, paint, etc.); irregularity; nonuniformity; blotchiness|unevenness (of quality, results, behaviour, etc.); inconsistency; instability|fickleness; capriciousness; fitfulness
版権	ハンケン	copyright; publishing rights
搬出	ハンシュツ	carrying out (esp. heavy objects, artwork, furniture); taking out
版	バン	edition; version; printing; impression; implementation (of software)|plate; block; cast|counter for editions of a publication
犯人	ハンニン	offender; criminal; culprit
板	イタ	board; plank|sheet (of metal); plate (of glass); pane; slab|cutting board; chopping board|chef (esp. of high-end Japanese cuisine); cook|stage (i.e. at a theatre)
反落	ハンラク	reactionary fall (e.g. in stock prices)
繁栄	ハンエイ	prosperity; thriving; flourishing
班	ハン	group; party; team|squad; section
汎用	ハンヨウ	generic; general purpose; all-purpose
犯す	オカス	to commit (e.g. crime); to perpetrate; to make (e.g. mistake)|to break (e.g. rule); to violate; to transgress; to contravene|to rape; to violate; to ravish; to deflower
版画	ハンガ	woodcut; woodblock print; art print
犯行	ハンコウ	crime; criminal act; offence; offense
犯罪者	ハンザイシャ	criminal; culprit
繁殖	ハンショク	breeding; propagation; reproduction; multiplication; increase
藩	ハン	han (estate of a daimyo in the Edo and early Meiji periods); feudal domain; fief; province
班長	ハンチョウ	squad leader; group leader; team leader
繁盛	ハンジョウ	prosperity; flourishing; thriving
晩酌	バンシャク	drink at home with one's evening meal; dinner-time drink
販売	ハンバイ	sale; sales; selling; marketing
晩	バン	evening; night|dinner; evening meal|counter for nights
盤	バン	board (in shogi, go, chess, etc.)|(phonograph) record; disc; disk|board; panel; plate
煩わしい	ワズラワシイ	troublesome; annoying; complicated
繁茂	ハンモ	flourishing (of plants); thriving; luxuriant growth; growing lushly; rankness (of weeds)
番号	バンゴウ	number; series of digits
番目	バンメ	the nth ...|divisions of a kabuki performance
番組	バングミ	program (e.g. TV); programme
繁雑	ハンザツ	complex; intricate; complicated; confused; troublesome; vexatious; cumbersome
番付	バンヅケ	ranked list (entertainers, sumo wrestlers, millionaires, etc.)|program (e.g. theatre)
晩年	バンネン	one's later years; final years (in life)
煩悩	ボンノウ	worldly desires; evil passions; appetites of the flesh|klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)
藩主	ハンシュ	feudal lord; daimyo
番犬	バンケン	watchdog; guard dog
煩い	ワズライ	noisy; loud|annoying; troublesome; tiresome; persistent; importunate|fussy; finicky; picky; particular; nagging; fastidious; bossy|shut up; be quiet
販路	ハンロ	market (for goods, services, etc.); outlet (for selling); opening
蛮勇	バンユウ	foolhardiness; recklessness; savage valour; savage valor; brute courage
頒布	ハンプ	distribution; circulation
晩婚	バンコン	late marriage
飯	メシ	cooked rice|meal; food|one's living; livelihood
否	イナ	no; the noes|no; nay|disagreement; objection; disapproval|no
繁華街	ハンカガイ	business district; shopping district; bustling street; shopping centre; shopping center; downtown
蛮行	バンコウ	act of barbarity; barbarism; brutality; savagery
範囲	ハンイ	extent; scope; sphere; range; span
番地	バンチ	house number; address
卑怯	ヒキョウ	cowardly; craven|unfair; mean; sneaky; dirty; dastardly
否定	ヒテイ	denial; negation; repudiation; disavowal|negation|NOT operation
卑屈	ヒクツ	servile; subservient; obsequious; slavish; self-abasing; grovelling; spineless
妃殿下	ヒデンカ	princess; Her Royal Highness
悲しい	カナシイ	sad; miserable; unhappy; sorrowful|sad; lamentable; deplorable; grievous
庇う	カバウ	to protect (someone); to look after (e.g. an injured leg); to defend; to cover for; to stand up for; to stick up for
彼方	カナタ	beyond; across; the other side; the distance|that way; that direction; over there; yonder|that (one)|that person|there; over there; foreign country (esp. a Western nation)
卑劣	ヒレツ	mean; contemptible; despicable; dirty; foul; cowardly; base
悲観	ヒカン	pessimism; (taking a) gloomy view; discouragement; despondency; despair; disappointment
卑しい	イヤシイ	lowborn; humble; lowly|vulgar; coarse; crude; mean; base; vile; despicable; dirty; unfair|shabby; poor-looking|greedy; gluttonous; avaricious
悲哀	ヒアイ	sorrow; grief; sadness
悲願	ヒガン	one's dearest wish|Buddha's vow to save humanity
悲しむ	カナシム	to be sad; to mourn for; to regret
否認	ヒニン	denial; negation; repudiation; disapproval
否決	ヒケツ	rejection; negation; voting down
悲劇	ヒゲキ	tragedy; tragic drama; tragic play|tragedy; calamity; disaster
悲鳴	ヒメイ	shriek; scream
彼女	カノジョ	she; her|girlfriend
悲痛	ヒツウ	grief; sorrow; extreme sadness; heartbreak
彼岸	ヒガン	equinoctial week (when Buddhist services are held)|Buddhist services during the equinoctial week|nirvana|opposite bank; opposite shore; shore on the other side
悲嘆	ヒタン	grief; sorrow; anguish; lamentation
悲観的	ヒカンテキ	pessimistic; gloomy
悲惨	ヒサン	disastrous; tragic; miserable; wretched; pitiful; woeful; outrageous
彼奴	キャツ	he; she; that guy|that; that one; that thing
悲壮	ヒソウ	tragic but brave; heroic; grim
彼氏	カレシ	boyfriend|he; him
比	ヒ	ratio; proportion|match; equal; equivalent; comparison|compared with ...; relative to ...|Philippines|explicit comparison (style of the Shi Jing)
